Release Date,Time,Actual,Forecast,Previous,
"Mar 30, 2025 (Mar)",21:30, , ,50.2,
"Feb 28, 2025 (Feb)",21:30,50.2,50.0,49.1,
"Jan 26, 2025 (Jan)",21:30,49.1,50.1,50.1,
"Dec 30, 2024 (Dec)",21:30,50.1,50.3,50.3,
"Nov 29, 2024 (Nov)",21:30,50.3,50.2,50.1,
"Oct 30, 2024 (Oct)",21:30,50.1,49.8,49.8,
"Sep 29, 2024 (Sep)",21:30,49.8,49.4,49.1,
"Aug 30, 2024 (Aug)",21:30,49.1,49.5,49.4,
"Jul 30, 2024 (Jul)",21:30,49.4,49.4,49.5,
"Jun 29, 2024 (Jun)",21:30,49.5,49.5,49.5,
"May 30, 2024 (May)",21:30,49.5,50.5,50.4,
"Apr 29, 2024 (Apr)",21:30,50.4,50.3,50.8,
"Mar 30, 2024 (Mar)",21:30,50.8,50.1,49.1,
"Feb 29, 2024 (Feb)",21:30,49.1,49.1,49.2,
"Jan 30, 2024 (Jan)",21:30,49.2,49.2,49.0,
"Dec 30, 2023 (Dec)",21:30,49.0,49.5,49.4,
"Nov 29, 2023 (Nov)",21:30,49.4,49.7,49.5,
"Oct 30, 2023 (Oct)",21:30,49.5,50.2,50.2,
"Sep 29, 2023",21:30,50.2,50.2,49.7,
"Aug 30, 2023 (Aug)",21:30,49.7,49.4,49.3,
"Jul 30, 2023 (Jul)",21:30,49.3,49.2,49.0,
"Jun 29, 2023 (Jun)",21:30,49.0,49.0,48.8,
"May 30, 2023 (May)",21:30,48.8,51.4,49.2,
"Apr 29, 2023 (Apr)",21:30,49.2,51.4,51.9,
"Mar 30, 2023 (Mar)",21:30,51.9,51.5,52.6,
"Feb 28, 2023 (Feb)",21:30,52.6,50.5,50.1,
"Jan 30, 2023 (Jan)",21:30,50.1,49.8,47.0,
"Dec 30, 2022 (Dec)",21:30,47.0,48.0,48.0,
"Nov 29, 2022 (Nov)",21:30,48.0,49.0,49.2,
"Oct 30, 2022 (Oct)",21:30,49.2,50.0,50.1,
"Sep 29, 2022 (Sep)",21:30,50.1,49.6,49.4,
"Aug 30, 2022 (Aug)",21:30,49.4,49.2,49.0,
"Jul 30, 2022 (Jul)",21:30,49.0,50.4,50.2,
"Jun 29, 2022 (Jun)",21:30,50.2,50.5,49.6,
"May 30, 2022 (May)",21:30,49.6,48.0,47.4,
"Apr 29, 2022 (Apr)",21:30,47.4,48.0,49.5,
"Mar 30, 2022 (Mar)",21:30,49.5,49.9,50.2,
"Feb 28, 2022 (Feb)",21:30,50.2,49.9,50.1,
"Jan 29, 2022 (Jan)",21:30,50.1,50.0,50.3,
"Dec 30, 2021 (Dec)",21:00,50.3,50.0,50.1,
"Nov 29, 2021 (Nov)",21:00,50.1,49.6,49.2,
"Oct 30, 2021 (Oct)",21:00,49.2,49.7,49.6,
"Sep 29, 2021 (Sep)",21:00,49.6,50.1,50.1,
"Aug 30, 2021 (Aug)",21:00,50.1,50.2,50.4,
"Jul 30, 2021 (Jul)",21:00,50.4,50.8,50.9,
"Jun 29, 2021 (Jun)",21:00,50.9,50.8,51.0,
"May 30, 2021 (May)",21:00,51.0,51.1,51.1,
"Apr 29, 2021 (Apr)",21:00,51.1,51.7,51.9,
"Mar 30, 2021 (Mar)",21:00,51.9,51.0,50.6,
"Feb 28, 2021 (Feb)",03:00,50.6,51.1,51.3,
"Jan 30, 2021 (Jan)",21:00,51.3,51.6,51.9,
"Dec 30, 2020 (Dec)",21:00,51.9,52.0,52.1,
"Nov 29, 2020 (Nov)",21:00,52.1,51.5,51.4,
"Oct 30, 2020 (Oct)",21:00,51.4,51.3,51.5,
"Sep 29, 2020 (Sep)",21:00,51.5,51.2,51.0,
"Aug 30, 2020 (Aug)",21:00,51.0,51.2,51.1,
"Jul 30, 2020 (Jul)",21:00,51.1,50.7,50.9,
"Jun 29, 2020 (Jun)",21:00,50.9,50.4,50.6,
"May 30, 2020 (May)",21:00,50.6,51.0,50.8,
"Apr 29, 2020 (Apr)",21:00,50.8,51.0,52.0,
"Mar 30, 2020 (Mar)",21:00,52.0,45.0,35.7,
"Feb 28, 2020 (Feb)",21:00,35.7,46.0,50.0,
"Jan 30, 2020 (Jan)",21:00,50.0,50.0,50.2,
"Dec 30, 2019 (Dec)",21:00,50.2,50.1,50.2,
"Nov 29, 2019 (Nov)",21:00,50.2,49.5,49.3,
"Oct 30, 2019 (Oct)",21:00,49.3,49.9,49.8,
"Sep 29, 2019 (Sep)",21:00,49.8,49.5,49.5,
"Aug 30, 2019 (Aug)",21:00,49.5,49.7,49.7,
"Jul 30, 2019 (Jul)",21:00,49.7,49.6,49.4,
"Jun 29, 2019 (Jun)",21:00,49.4,49.5,49.4,
"May 30, 2019 (May)",21:00,49.4,49.9,50.1,
"Apr 29, 2019 (Apr)",21:00,50.1,50.7,50.5,
"Mar 30, 2019 (Mar)",21:00,50.5,49.5,49.2,
"Feb 27, 2019 (Feb)",21:00,49.2,49.5,49.5,
"Jan 30, 2019 (Jan)",21:00,49.5,49.3,49.4,
"Dec 30, 2018 (Dec)",21:00,49.4,50.0,50.0,
"Nov 29, 2018 (Nov)",21:00,50.0,50.2,50.2,
"Oct 30, 2018 (Oct)",21:00,50.2,50.6,50.8,
"Sep 29, 2018 (Sep)",21:00,50.8,51.2,51.3,
"Aug 30, 2018 (Aug)",21:00,51.3,51.0,51.2,
"Jul 30, 2018 (Jul)",21:00,51.2,51.4,51.5,
"Jun 29, 2018 (Jun)",21:00,51.5,51.6,51.9,
"May 30, 2018 (May)",21:00,51.9,51.4,51.4,
"Apr 29, 2018 (Apr)",21:00,51.4,51.3,51.5,
"Mar 30, 2018 (Mar)",21:00,51.5,50.5,50.3,
"Feb 27, 2018 (Feb)",21:00,50.3,51.4,51.3,
"Jan 30, 2018 (Jan)",21:00,51.3,51.5,51.6,
"Dec 30, 2017 (Dec)",21:00,51.6,51.6,51.8,
"Nov 29, 2017 (Nov)",21:00,51.8,51.4,51.6,
"Oct 30, 2017 (Oct)",21:00,51.6,52.0,52.4,
"Sep 29, 2017 (Sep)",21:00,52.4,51.5,51.7,
"Aug 30, 2017 (Aug)",21:00,51.7,51.3,51.4,
"Jul 30, 2017 (Jul)",21:00,51.4,51.6,51.7,
"Jun 29, 2017 (Jun)",21:00,51.7,51.0,51.2,
"May 30, 2017 (May)",21:00,51.2,51.0,51.2,
"Apr 29, 2017 (Apr)",21:00,51.2,51.6,51.8,
"Mar 30, 2017 (Mar)",21:00,51.8,51.6,51.6,
"Feb 28, 2017 (Feb)",21:00,51.6,51.1,51.3,
"Jan 31, 2017 (Jan)",21:00,51.3,51.2,51.4,
"Dec 31, 2016 (Dec)",21:00,51.4,51.5,51.7,
"Nov 30, 2016 (Nov)",21:00,51.7,51.0,51.2,
"Oct 31, 2016 (Oct)",21:00,51.2,50.4,50.4,
"Sep 30, 2016 (Sep)",21:00,50.4,50.4,50.4,
"Aug 31, 2016 (Aug)",21:00,50.4,49.9,49.9,
"Jul 31, 2016 (Jul)",21:00,49.9,50.0,50.0,
"Jun 30, 2016 (Jun)",21:00,50.0,50.0,50.1,
"May 31, 2016 (May)",21:00,50.1,50.0,50.1,
"Apr 30, 2016 (Apr)",21:00,50.1,50.4,50.2,
"Mar 31, 2016 (Mar)",21:00,50.2,49.3,49.0,
"Feb 29, 2016 (Feb)",21:00,49.0,49.3,49.4,
"Jan 31, 2016 (Jan)",21:00,49.4,49.6,49.7,
"Dec 31, 2015 (Dec)",21:00,49.7,49.7,49.6,
"Nov 30, 2015 (Nov)",21:00,49.6,49.8,49.8,
"Oct 31, 2015 (Oct)",21:00,49.8,50.0,49.8,
"Sep 30, 2015 (Sep)",21:00,49.8,49.6,49.7,
"Aug 31, 2015 (Aug)",21:00,49.7,49.7,50.0,
"Jul 31, 2015 (Jul)",21:00,50.0,50.2,50.2,
"Jun 30, 2015 (Jun)",21:00,50.2,50.3,50.2,
"May 31, 2015 (May)",21:00,50.2,50.2,50.1,
"Apr 30, 2015 (Apr)",21:00,50.1,50.0,50.1,
"Mar 31, 2015 (Mar)",21:00,50.1,49.7,49.9,
"Feb 28, 2015 (Feb)",21:00,49.9,49.7,49.8,
"Jan 31, 2015 (Jan)",21:00,49.8,50.2,50.1,
"Dec 31, 2014 (Dec)",21:00,50.1,50.1,50.3,
"Nov 30, 2014 (Nov)",21:00,50.3,50.5,50.8,
"Oct 31, 2014 (Oct)",21:00,50.8,51.2,51.1,
"Sep 30, 2014 (Sep)",21:00,51.1,51.0,51.1,
"Aug 31, 2014",21:00,51.1,51.2,51.7,
"Jul 31, 2014",21:00,51.7,51.4,51.0,
"Jun 30, 2014",21:00,51.0,51.0,50.8,
"May 31, 2014",21:00,50.8,50.6,50.4,
"Apr 30, 2014",21:00,50.4,50.5,50.3,
"Mar 31, 2014",21:00,50.3,50.3,50.2,
"Feb 28, 2014",21:00,50.2,50.1,50.5,
"Jan 31, 2014",21:00,50.5,50.5,51.0,
"Dec 31, 2013",21:00,51.0,51.2,51.4,
"Nov 30, 2013",21:00,51.4,51.1,51.4,
"Oct 31, 2013",21:00,51.4,51.2,51.1,
"Sep 30, 2013",21:00,51.1,51.5,51.0,
"Aug 31, 2013",21:00,51.0,50.6,50.3,
"Jul 31, 2013",21:00,50.3,49.9,50.1,
"Jun 30, 2013",21:00,50.10,50.00,50.80,
"May 31, 2013",21:00,50.80,50.10,50.60,
"Apr 30, 2013",21:00,50.60,51.00,50.90,
"Mar 31, 2013",21:00,50.90,52.00,50.10,
"Feb 28, 2013",21:00,50.10,50.20,50.40,
"Jan 31, 2013",21:00,50.40,50.90,50.60,
"Dec 31, 2012",21:00,50.60,51.00,50.60,
"Nov 30, 2012",21:00,50.60,50.60,50.20,
"Oct 31, 2012",21:00,50.20,50.30,49.80,
"Sep 30, 2012",21:00,49.80,49.80,49.20,
"Aug 31, 2012",21:00,49.20,50.00,50.10,
"Jul 31, 2012",21:00,50.10,50.30,50.20,
"Jun 30, 2012",21:00,50.20,49.80,50.40,
"May 31, 2012",21:00,50.40,52.20,53.30,
"Apr 30, 2012",21:00,53.30,53.60,53.10,
"Mar 31, 2012",21:00,53.10,51.00,51.00,
"Mar 01, 2012 (Feb)",05:00,51.00, ,50.50,
"Feb 01, 2012 (Jan)",05:00,50.50, ,50.30,
"Jan 01, 2012 (Dec)",05:00,50.30, ,49.00,
"Dec 01, 2011 (Nov)",05:00,49.00, ,50.40,
"Nov 01, 2011 (Oct)",05:00,50.40, ,51.20,
"Oct 01, 2011 (Sep)",05:00,51.20, ,50.90,
"Sep 01, 2011 (Aug)",05:00,50.90, ,50.70,
"Aug 01, 2011 (Jul)",05:00,50.70, ,50.90,
"Jul 01, 2011 (Jun)",05:00,50.90, ,52.00,
"Jun 01, 2011 (May)",05:00,52.00, ,52.90,
"May 01, 2011 (Apr)",05:00,52.90, ,53.40,
"Apr 01, 2011 (Mar)",05:00,53.40, ,52.20,
"Mar 01, 2011 (Feb)",05:00,52.20, ,52.90,
"Feb 01, 2011 (Jan)",05:00,52.90, ,53.90,
"Jan 01, 2011 (Dec)",05:00,53.90, ,55.20,
"Dec 01, 2010 (Nov)",05:00,55.20, ,54.70,
